frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
39,1.625,4,lifter,0.2482,1341,1153,1666,1504,-5.2734,0.2566,13.0425,0.555,1.1905,0.2491
39,1.625,5,lifter,0.1865,772,1171,1069,1512,-4.5745,0.2115,11.3498,0.4849,1.0381,0.2267
40,1.667,1,lifter,0.7918,194,1067,466,1512,-4.2501,0.1927,10.553,0.448,0.9601,0.2079
40,1.667,2,lifter,0.7349,1577,738,1661,920,-4.669,0.2173,11.5818,0.4957,1.0605,0.2314
40,1.667,3,lifter,0.6746,218,684,348,923,-6.1558,0.3068,15.1974,0.6493,1.3925,0.2878
40,1.667,4,lifter,0.2496,1341,1153,1666,1504,-5.2739,0.2566,13.0436,0.5551,1.1906,0.2492
40,1.667,5,lifter,0.1861,772,1171,1069,1512,-4.5746,0.2115,11.3501,0.4849,1.0381,0.2267
41,1.709,1,lifter,0.7913,194,1067,466,1512,-4.2501,0.1927,10.553,0.448,0.9601,0.2079
41,1.709,2,lifter,0.7315,1577,741,1661,921,-4.6283,0.2149,11.4824,0.4912,1.0509,0.2293
41,1.709,3,lifter,0.6728,218,684,348,923,-6.1553,0.3068,15.1961,0.6492,1.3923,0.2878
41,1.709,4,lifter,0.2504,1341,1153,1666,1504,-5.2724,0.2565,13.0399,0.5549,1.1903,0.2491
41,1.709,5,lifter,0.1854,772,1171,1071,1512,-4.5774,0.2117,11.3571,0.4852,1.0388,0.2269
42,1.75,1,lifter,0.7914,194,1067,466,1512,-4.2501,0.1927,10.5528,0.448,0.9601,0.2079
42,1.75,2,lifter,0.7386,1577,741,1662,921,-4.6092,0.2138,11.4357,0.4891,1.0464,0.2283
42,1.75,3,lifter,0.6725,218,684,348,923,-6.1516,0.3065,15.1871,0.6488,1.3915,0.2876
42,1.75,4,lifter,0.2459,1341,1153,1666,1504,-5.2698,0.2563,13.0335,0.5546,1.1897,0.249
42,1.75,5,lifter,0.1862,772,1171,1070,1512,-4.5799,0.2119,11.3631,0.4855,1.0394,0.227
43,1.792,1,lifter,0.7913,194,1067,466,1512,-4.2495,0.1926,10.5515,0.4479,0.9599,0.2079
43,1.792,2,lifter,0.7235,1578,742,1662,921,-4.6124,0.214,11.4434,0.4895,1.0472,0.2285
43,1.792,3,lifter,0.6706,218,684,348,922,-6.1741,0.3079,15.2422,0.6512,1.3967,0.2887
43,1.792,4,lifter,0.2471,1341,1153,1666,1504,-5.2744,0.2566,13.0447,0.5551,1.1907,0.2492
43,1.792,5,lifter,0.1837,772,1171,1073,1512,-4.5805,0.2119,11.3646,0.4855,1.0395,0.227
44,1.834,1,lifter,0.7919,194,1066,466,1512,-4.2481,0.1925,10.5481,0.4478,0.9596,0.2078
44,1.834,2,lifter,0.7161,1579,741,1663,921,-4.5567,0.2107,11.3073,0.4833,1.034,0.2255
44,1.834,3,lifter,0.6715,218,684,348,922,-6.1704,0.3076,15.233,0.6508,1.3958,0.2885
44,1.834,4,lifter,0.2472,1341,1153,1666,1504,-5.2725,0.2565,13.0402,0.5549,1.1903,0.2491
44,1.834,5,lifter,0.1848,772,1171,1072,1512,-4.5797,0.2119,11.3627,0.4855,1.0393,0.227
45,1.875,1,lifter,0.7916,194,1066,466,1512,-4.2476,0.1925,10.5467,0.4477,0.9595,0.2078
45,1.875,2,lifter,0.6879,1579,740,1664,920,-4.534,0.2094,11.2518,0.4808,1.0287,0.2244
45,1.875,3,lifter,0.6722,218,684,348,922,-6.1745,0.3079,15.243,0.6513,1.3968,0.2887
45,1.875,4,lifter,0.2462,1341,1153,1666,1504,-5.2693,0.2563,13.0323,0.5546,1.1896,0.2489
45,1.875,5,lifter,0.1829,772,1171,1073,1512,-4.581,0.2119,11.3659,0.4856,1.0396,0.227
