frame,time_seconds,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
147,6.126,0.7892,225,685,346,924,-6.5097,0.3278,16.0621,0.6873,1.4746,0.3052
148,6.168,0.7865,225,685,346,924,-6.5036,0.3274,16.0471,0.6866,1.4732,0.3049
149,6.21,0.787,225,685,346,924,-6.5172,0.3282,16.0804,0.6881,1.4764,0.3055
150,6.251,0.7839,225,685,346,924,-6.5161,0.3282,16.0777,0.688,1.4761,0.3055
151,6.293,0.7902,225,685,346,924,-6.5142,0.3281,16.0731,0.6878,1.4757,0.3054
152,6.335,0.7896,225,684,346,924,-6.5221,0.3285,16.0924,0.6886,1.4775,0.3057
153,6.376,0.7914,225,684,346,924,-6.5331,0.3291,16.1193,0.6898,1.48,0.3063
154,6.418,0.7853,225,684,346,924,-6.5466,0.3299,16.1521,0.6912,1.4832,0.3069
155,6.46,0.789,225,685,346,924,-6.5373,0.3294,16.1295,0.6902,1.481,0.3065
156,6.501,0.7814,225,685,346,924,-6.5225,0.3285,16.0932,0.6886,1.4776,0.3058
157,6.543,0.7789,225,685,346,924,-6.5246,0.3287,16.0985,0.6889,1.4781,0.3059
158,6.585,0.7788,225,685,346,924,-6.5292,0.3289,16.1097,0.6894,1.4791,0.3061
159,6.627,0.7798,225,685,346,924,-6.5294,0.3289,16.1101,0.6894,1.4792,0.3061
160,6.668,0.7775,225,685,346,924,-6.5237,0.3286,16.0963,0.6888,1.4779,0.3058
161,6.71,0.7785,225,686,346,924,-6.5177,0.3283,16.0816,0.6882,1.4765,0.3055
162,6.752,0.7778,225,685,346,924,-6.5278,0.3289,16.1061,0.6892,1.4788,0.306
163,6.793,0.777,225,685,346,924,-6.5304,0.329,16.1125,0.6895,1.4794,0.3061
164,6.835,0.7765,224,685,346,923,-6.4618,0.3249,15.945,0.6821,1.4634,0.3027
165,6.877,0.7786,225,685,346,924,-6.53,0.329,16.1117,0.6895,1.4793,0.3061
166,6.918,0.7786,225,685,346,924,-6.53,0.329,16.1115,0.6894,1.4793,0.3061
167,6.96,0.7778,225,686,346,924,-6.5192,0.3284,16.0853,0.6883,1.4768,0.3056
168,7.002,0.7738,224,686,346,924,-6.4378,0.3235,15.8862,0.6795,1.4579,0.3016
169,7.043,0.7738,224,685,346,924,-6.4474,0.3241,15.9098,0.6805,1.4601,0.302
170,7.085,0.7733,224,685,346,924,-6.4471,0.324,15.9091,0.6805,1.4601,0.302
171,7.127,0.7732,224,685,346,924,-6.4473,0.324,15.9096,0.6805,1.4601,0.302
172,7.168,0.7715,224,685,346,924,-6.4468,0.324,15.9084,0.6805,1.46,0.302
173,7.21,0.7739,224,685,346,924,-6.4506,0.3242,15.9175,0.6809,1.4609,0.3022
174,7.252,0.773,224,685,346,924,-6.4508,0.3243,15.9182,0.6809,1.4609,0.3022
175,7.293,0.7727,224,685,346,924,-6.4547,0.3245,15.9276,0.6813,1.4618,0.3024
176,7.335,0.7736,224,685,346,923,-6.4683,0.3253,15.9608,0.6827,1.4649,0.303
177,7.377,0.7735,224,685,346,924,-6.4538,0.3244,15.9255,0.6812,1.4616,0.3024
178,7.418,0.7709,224,685,346,924,-6.4588,0.3247,15.9376,0.6817,1.4627,0.3026
179,7.46,0.772,224,685,346,924,-6.4585,0.3247,15.937,0.6817,1.4627,0.3026
180,7.502,0.7726,224,686,346,924,-6.4395,0.3236,15.8905,0.6797,1.4583,0.3017
181,7.543,0.7766,224,685,346,924,-6.454,0.3244,15.9259,0.6812,1.4616,0.3024
182,7.585,0.7768,224,685,346,924,-6.4537,0.3244,15.9253,0.6812,1.4616,0.3023
183,7.627,0.7717,224,686,346,924,-6.445,0.3239,15.904,0.6803,1.4596,0.3019
184,7.668,0.7747,224,686,346,924,-6.4433,0.3238,15.8998,0.6801,1.4592,0.3019
185,7.71,0.7781,224,686,346,924,-6.4446,0.3239,15.9029,0.6803,1.4595,0.3019
186,7.752,0.7783,224,686,346,924,-6.4456,0.324,15.9054,0.6804,1.4597,0.302
187,7.793,0.7789,224,685,346,924,-6.459,0.3247,15.9381,0.6818,1.4628,0.3026
188,7.835,0.7777,224,685,345,924,-6.4794,0.3259,15.988,0.6839,1.4675,0.3035
189,7.877,0.7796,224,685,346,924,-6.4613,0.3249,15.9438,0.682,1.4633,0.3027
190,7.918,0.7797,225,685,346,924,-6.5432,0.3298,16.1437,0.6909,1.4824,0.3068
191,7.96,0.7866,225,686,346,924,-6.5369,0.3294,16.1283,0.6902,1.4809,0.3065
192,8.002,0.7871,224,686,346,924,-6.4493,0.3242,15.9143,0.6808,1.4606,0.3022
193,8.043,0.7922,224,686,346,924,-6.4577,0.3247,15.935,0.6817,1.4625,0.3026
194,8.085,0.7924,224,686,346,924,-6.4533,0.3244,15.9243,0.6812,1.4615,0.3023
195,8.127,0.7918,225,685,346,924,-6.5366,0.3294,16.1278,0.6902,1.4809,0.3064
196,8.169,0.7886,224,685,345,924,-6.4719,0.3255,15.9695,0.6831,1.4658,0.3032
197,8.21,0.7745,228,679,347,921,-7.0447,0.3589,17.3689,0.7444,1.5982,0.3307
198,8.252,0.7743,228,679,347,921,-7.0447,0.3589,17.3689,0.7444,1.5982,0.3307
199,8.294,0.7756,228,680,347,921,-6.993,0.3559,17.2425,0.7389,1.5863,0.3282
200,8.335,0.7751,228,679,347,921,-7.0444,0.3589,17.3683,0.7444,1.5982,0.3307
201,8.377,0.7764,229,680,347,921,-7.0301,0.3581,17.3333,0.7429,1.5949,0.33
202,8.419,0.7776,229,680,347,921,-7.0298,0.358,17.3325,0.7428,1.5948,0.33
203,8.46,0.7843,229,680,347,921,-7.0333,0.3582,17.341,0.7432,1.5956,0.3302
204,8.502,0.7883,229,679,347,921,-7.0826,0.3611,17.4615,0.7485,1.607,0.3325
205,8.544,0.789,229,680,347,921,-7.0355,0.3584,17.3464,0.7434,1.5961,0.3303
206,8.585,0.7866,229,680,348,921,-7.0079,0.3568,17.2791,0.7405,1.5899,0.329
207,8.627,0.7846,229,680,347,921,-7.0197,0.3575,17.3078,0.7418,1.5925,0.3295
208,8.669,0.7839,229,680,348,921,-7.0031,0.3565,17.2673,0.74,1.5887,0.3287
209,8.71,0.7849,229,680,347,921,-7.0564,0.3596,17.3976,0.7457,1.6009,0.3313
210,8.752,0.7843,229,680,347,921,-7.0551,0.3595,17.3943,0.7455,1.6006,0.3312
211,8.794,0.782,229,680,347,921,-7.0438,0.3589,17.3666,0.7443,1.598,0.3307
212,8.835,0.7823,229,679,347,921,-7.086,0.3613,17.4699,0.7488,1.6077,0.3327
213,8.877,0.7915,229,680,347,921,-7.0756,0.3607,17.4443,0.7477,1.6053,0.3322
214,8.919,0.7902,229,680,347,920,-7.089,0.3614,17.4772,0.7491,1.6084,0.3328
215,8.96,0.7853,228,679,347,920,-7.076,0.3607,17.4455,0.7478,1.6054,0.3322
216,9.002,0.7886,228,680,347,920,-6.9918,0.3558,17.2397,0.7388,1.586,0.3282
217,9.044,0.7918,229,680,347,921,-7.0859,0.3613,17.4696,0.7488,1.6077,0.3327
218,9.085,0.7867,229,680,347,921,-7.0911,0.3616,17.4821,0.7494,1.6089,0.3329
219,9.127,0.7724,229,679,347,920,-7.1533,0.3651,17.6342,0.756,1.6232,0.3359
220,9.169,0.7677,228,679,347,920,-7.1042,0.3623,17.5143,0.7507,1.6119,0.3335
221,9.21,0.7747,229,679,347,920,-7.1774,0.3665,17.693,0.7585,1.6287,0.337
222,9.252,0.7787,229,679,347,920,-7.2036,0.368,17.757,0.7613,1.6347,0.3383
223,9.294,0.7749,229,679,347,920,-7.2037,0.368,17.7573,0.7613,1.6347,0.3383
224,9.335,0.7744,228,679,346,920,-7.1466,0.3647,17.6179,0.7552,1.6216,0.3356
225,9.377,0.7756,228,678,346,920,-7.2102,0.3684,17.7732,0.762,1.6362,0.3386
226,9.419,0.7727,228,679,346,920,-7.1938,0.3674,17.733,0.7603,1.6324,0.3378
227,9.46,0.7726,228,679,346,920,-7.1943,0.3675,17.7343,0.7603,1.6325,0.3378
228,9.502,0.7724,228,679,346,920,-7.1924,0.3674,17.7297,0.7601,1.6321,0.3377
229,9.544,0.8136,1869,695,1988,919,-4.8953,0.2306,12.1351,0.5207,1.1139,0.2435
230,9.586,0.7662,228,679,346,919,-7.2155,0.3687,17.7862,0.7626,1.6374,0.3389
231,9.627,0.768,228,679,346,919,-7.2151,0.3686,17.785,0.7625,1.6373,0.3388
232,9.669,0.7678,228,679,346,919,-7.2132,0.3685,17.7806,0.7623,1.6369,0.3387
233,9.711,0.774,229,679,346,920,-7.2435,0.3703,17.8545,0.7656,1.6438,0.3402
234,9.752,0.7721,229,679,346,920,-7.2432,0.3703,17.8537,0.7655,1.6438,0.3402
235,9.794,0.7642,229,679,346,920,-7.2413,0.3702,17.8492,0.7653,1.6433,0.3401
236,9.836,0.7658,229,679,346,920,-7.2341,0.3698,17.8315,0.7646,1.6417,0.3397
237,9.877,0.7623,228,679,346,920,-7.1945,0.3675,17.7347,0.7604,1.6326,0.3378
238,9.919,0.7603,228,679,347,920,-7.1737,0.3663,17.6839,0.7581,1.6278,0.3369
239,9.961,0.7591,228,679,347,920,-7.1736,0.3663,17.6839,0.7581,1.6278,0.3369
240,10.002,0.7605,228,679,347,920,-7.1698,0.3661,17.6746,0.7577,1.627,0.3367
241,10.044,0.7609,228,679,346,920,-7.1981,0.3677,17.7436,0.7607,1.6334,0.338
242,10.086,0.7608,228,679,346,920,-7.192,0.3673,17.7286,0.7601,1.632,0.3377
243,10.127,0.7609,228,679,346,920,-7.1931,0.3674,17.7314,0.7602,1.6323,0.3378
244,10.169,0.7627,228,679,346,920,-7.1893,0.3672,17.7221,0.7598,1.6314,0.3376
245,10.211,0.7626,228,679,347,921,-7.1584,0.3654,17.6466,0.7565,1.6243,0.3361
246,10.252,0.7641,228,679,347,921,-7.1541,0.3652,17.6361,0.7561,1.6233,0.3359
247,10.294,0.7637,228,679,347,921,-7.1579,0.3654,17.6455,0.7565,1.6242,0.3361
248,10.336,0.7619,228,679,347,920,-7.1758,0.3664,17.6893,0.7584,1.6283,0.337
249,10.377,0.7615,228,679,347,921,-7.16,0.3655,17.6506,0.7567,1.6247,0.3362
250,10.419,0.7581,228,679,347,920,-7.1783,0.3666,17.6953,0.7586,1.6289,0.3371
251,10.461,0.7594,228,679,347,920,-7.1788,0.3666,17.6965,0.7587,1.629,0.3371
252,10.502,0.7624,228,679,347,921,-7.158,0.3654,17.6456,0.7565,1.6242,0.3361
253,10.544,0.7644,228,679,347,921,-7.1602,0.3655,17.651,0.7567,1.6247,0.3362
254,10.586,0.7645,228,679,347,921,-7.1644,0.3658,17.6614,0.7572,1.6257,0.3364
255,10.627,0.7645,229,679,347,921,-7.2003,0.3679,17.7491,0.761,1.634,0.3382
256,10.669,0.765,229,679,348,921,-7.1697,0.3661,17.6742,0.7577,1.627,0.3367
257,10.711,0.7675,229,679,347,921,-7.2003,0.3679,17.749,0.761,1.634,0.3382
258,10.752,0.7652,228,679,347,921,-7.1716,0.3662,17.679,0.7579,1.6274,0.3368
259,10.794,0.7648,229,679,347,921,-7.2217,0.3691,17.8012,0.7633,1.6389,0.3392
260,10.836,0.7666,229,679,347,921,-7.2224,0.3691,17.8031,0.7634,1.6391,0.3392
261,10.877,0.7612,229,681,347,921,-7.1172,0.3631,17.546,0.7521,1.6149,0.3342
262,10.919,0.76,229,681,347,921,-7.1126,0.3628,17.5349,0.7517,1.6138,0.334
263,10.961,0.7624,229,680,347,921,-7.1885,0.3672,17.7202,0.7597,1.6313,0.3376
264,11.003,0.757,229,681,347,921,-7.1104,0.3627,17.5294,0.7514,1.6133,0.3339
265,11.044,0.76,229,680,347,921,-7.1982,0.3678,17.7439,0.7608,1.6335,0.3381
266,11.086,0.7603,229,681,347,921,-7.123,0.3634,17.5602,0.7528,1.6162,0.3345
267,11.128,0.7605,229,681,347,921,-7.1253,0.3636,17.5659,0.753,1.6168,0.3346
268,11.169,0.7559,229,681,346,921,-7.1486,0.3649,17.6227,0.7555,1.6221,0.3357
269,11.211,0.7587,230,681,347,921,-7.1491,0.3649,17.6239,0.7555,1.6222,0.3357
